greg,t,kant,35,brunette,blue,apple,pineapple,banana
rose,e,dirac,96,blonde,black,lemon,banana,strawberry
amy,e,mozart,5,brunette,grey,grape,pineapple,blueberry
sally,n,smith,16,blonde,grey,pineapple,strawberry,blueberry
sally,b,smith,96,white,green,pineapple,banana,apple
hellen,q,kant,12,white,brown,strawberry,banana,pineapple
john,p,einstein,100,brunette,brown,apple,blueberry,banana
joseph,y,smith,57,white,brown,pineapple,strawberry,grape
greg,p,smith,35,brunette,blue,grape,lemon,strawberry
hellen,f,smith,90,brunette,blue,lemon,blueberry,banana
joe,a,smith,92,brunette,black,banana,grape,strawberry
greg,z,kant,24,red,black,apple,pineapple,lemon
greg,u,bach,82,white,black,strawberry,pineapple,lemon
peter,a,johnson,48,brunette,grey,pineapple,strawberry,banana
nathan,k,smith,4,white,brown,lemon,banana,blueberry
peter,v,mozart,1,brunette,green,grape,strawberry,banana
john,c,dirac,11,brunette,grey,pineapple,lemon,blueberry
mike,q,bach,31,blonde,brown,banana,lemon,pineapple
peter,h,smith,45,white,green,lemon,pineapple,blueberry
hellen,x,johnson,82,red,brown,banana,pineapple,strawberry
mike,t,einstein,88,white,green,lemon,grape,blueberry
carla,o,johnson,17,brunette,blue,banana,blueberry,strawberry
joe,v,johnson,72,red,green,banana,grape,strawberry
tristan,x,dirac,29,blonde,grey,grape,banana,pineapple
nathan,i,smith,53,red,grey,strawberry,pineapple,grape
carla,y,einstein,22,brunette,green,blueberry,apple,lemon
rose,g,carlsen,17,red,blue,pineapple,banana,grape
greg,v,kant,11,blonde,black,banana,strawberry,apple
georgia,f,bach,98,blonde,green,banana,blueberry,strawberry
sally,d,mozart,72,blonde,blue,lemon,strawberry,pineapple
peter,z,bach,53,white,green,apple,lemon,grape
hellen,y,kant,33,red,black,grape,strawberry,banana
carla,q,carlsen,43,white,grey,lemon,banana,strawberry
carla,m,bach,97,blonde,grey,banana,lemon,strawberry
tristan,h,einstein,78,blonde,blue,blueberry,apple,grape
sally,q,dirac,51,red,grey,lemon,grape,blueberry
nathan,v,bach,21,red,brown,apple,pineapple,banana
greg,g,mozart,0,blonde,brown,blueberry,apple,pineapple
amy,l,einstein,21,brunette,brown,apple,blueberry,banana
peter,d,einstein,92,blonde,brown,pineapple,strawberry,lemon
joseph,v,smith,67,white,black,apple,banana,blueberry
amy,q,mozart,53,white,blue,blueberry,grape,apple
peter,t,johnson,1,brunette,black,grape,blueberry,strawberry
mike,y,mozart,1,white,black,banana,strawberry,pineapple
mike,e,smith,44,white,grey,strawberry,blueberry,banana
joseph,t,carlsen,27,brunette,blue,pineapple,grape,blueberry
carla,l,kant,86,white,black,blueberry,lemon,strawberry
joe,n,carlsen,57,white,blue,lemon,apple,banana
sally,e,einstein,72,red,green,blueberry,strawberry,pineapple
tristan,n,kant,44,blonde,grey,blueberry,banana,grape
greg,p,einstein,31,blonde,black,grape,banana,apple
hellen,l,smith,46,red,blue,lemon,strawberry,pineapple
nathan,p,johnson,67,red,blue,blueberry,apple,pineapple
